transaction_id,customer_id,customer_name,email,phone,address,date_of_birth,card_number,transaction_amount,transaction_date,store_channel,_dq_null_flag,_ingested_at,_source_system,_batch_id
TXN000011,CUST0087,Adya Chakrabarti,dateekani@example.org,6322946418,"24/25, Raghavan Chowk, Gandhidham-301064",1980-02-16,2245588856258418,1557.84,2026-06-09,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000012,CUST0064,Leela Magar,shankerayaan@example.net,916954051388,"H.No. 232, Iyer Path, Saharsa-473520",1979-12-18,2252807077423597,397.68,2026-05-05,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000013,CUST0049,Netra Gour,palladavid@example.com,912515101554,"H.No. 382, Ben Path, New Delhi 046736",1965-02-27,2284924327771055,4139.92,2026-07-13,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000014,CUST0036,Ayushman Dara,siddharth45@example.org,1148944160,"H.No. 121, Saxena Path, Chennai-309608",1981-09-24,2556881312319129,538.01,2026-02-26,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000015,CUST0047,Zilmil Kuruvilla,uvenkataraman@example.net,913071233063,"H.No. 96, Shankar Street, Jabalpur-490517",1978-06-12,2288892612771377,1185.76,2026-03-25,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000016,CUST0119,Nikita Tailor,warhi98@example.net,8118992226,"12/24, Kannan Road, Jammu-224630",2002-11-29,5299818270429677,1681.93,2026-06-27,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000017,CUST0020,Logan Grewal,brahmbhattnisha@example.org,6987176478,"H.No. 637, Luthra, Berhampur 430242",1998-04-20,5164523051039867,950.49,2026-07-03,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000018,CUST0141,Nimrat Sanghvi,shafaraj@example.com,9432073231,"H.No. 48, Sandal Street, Mehsana 281248",1965-09-07,2385504112823291,18742.95,2026-05-23,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000019,CUST0013,Rachana Bhat,balveer20@example.com,917541157451,"52, Dasgupta Street, Sasaram 475131",1977-08-13,2720245438624914,142.69,2026-06-22,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000020,CUST0024,Rudra Handa,irarana@example.net,2446616770,"636, Jani Road, Raipur-693937",1995-12-01,2289670467587232,2760.17,2026-04-17,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000021,CUST0043,Nilima Dara,unadkarni@example.org,4868507284,"25, Das Street, Jalgaon 673784",1990-06-12,2264479251770304,519.92,2026-03-27,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000022,CUST0125,Yash Bakshi,gaurav20@example.com,6483162569,"61/69, Bhatia Zila, Bhatpara 918109",1975-11-05,2247451693306486,912.95,2026-07-31,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000023,CUST0055,Wazir Kant,basakyauvani@example.org,9053368317,"H.No. 54, Ganesan Circle, Junagadh 221312",1990-09-24,5520754395914841,678.73,2026-05-04,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000024,CUST0016,Yashica Ghose,urvinayak@example.net,9704566971,"H.No. 993, Goyal Circle, Udupi 699433",1960-05-19,5289930087129002,543.54,2026-07-05,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000025,CUST0098,Nirja Doctor,madhav98@example.com,918141197799,"06, Uppal Path, Asansol-277008",1967-11-02,5240437314423917,1739.23,2026-03-12,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000026,CUST0100,Chaitanya Gulati,boasedarika@example.com,1428458750,"70/97, De Nagar, Siliguri 989075",1972-05-09,2264816859040988,18177.48,2026-07-19,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000027,CUST0117,Xalak Gokhale,baghyawatitank@example.com,912963264634,"H.No. 423, Lad Ganj, Mau 442346",1958-04-17,2648528222904116,20212.17,2026-08-05,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000028,CUST0109,Siddharth Purohit,kashyapazad@example.net,916428252224,"23/17, Sami Street, Panihati-580429",1968-04-11,2238676309725890,4686.58,2026-05-15,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000029,CUST0040,Zarna Pandey,puriraagini@example.net,4239185009,"H.No. 04, Sethi Road, Ambala 307405",1991-12-17,2710174179571161,235.99,2026-02-25,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000030,CUST0076,Warda Loyal,jsaran@example.org,919763975853,"H.No. 51, Karnik Circle, Vijayawada 393231",1982-01-08,2238503630175134,358.74,2026-03-07,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000031,CUST0015,Vaishnavi Uppal,kalpitjha@example.net,8564803084,"07/03, Brar Nagar, Jamalpur-448666",2003-05-04,5506874072458512,2085.12,2026-05-14,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000032,CUST0081,Qushi Kala,agarwalsamaksh@example.net,1031862060,"H.No. 74, Parmar Marg, Kanpur 478078",2002-10-15,2720911956943446,11065.45,2026-05-07,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000033,CUST0013,Rachana Bhat,balveer20@example.com,917541157451,"52, Dasgupta Street, Sasaram 475131",1977-08-13,2707607713646242,565.02,2026-07-02,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000034,CUST0129,Dayamai Manne,boraomkaar@example.com,914061447024,"133, Buch Road, Gwalior 406716",2005-07-31,5542918145668361,811.28,2026-08-09,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000035,CUST0015,Vaishnavi Uppal,kalpitjha@example.net,8564803084,"07/03, Brar Nagar, Jamalpur-448666",2003-05-04,2453006190810809,986.56,2026-02-24,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000036,CUST0048,Ishanvi Kunda,akshay36@example.org,6961535839,"75/316, Krishnan Chowk, Cuttack-606189",1983-12-18,5479380605621223,1794.66,2026-03-14,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000037,CUST0153,Jairaj Ramanathan,harrison29@example.org,7686617991,"H.No. 720, Ben Zila, Ballia 984360",1976-01-18,2284416413933962,823.87,2026-05-05,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000038,CUST0173,Jagrati Purohit,muttiaryan@example.com,7044021975,"H.No. 05, Sehgal Ganj, Proddatur 739407",1960-10-26,5307905842124082,3915.3,2026-07-30,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000039,CUST0104,Alexander Rege,amrita25@example.com,4584929505,"H.No. 412, Sankar Street, Anantapur-432245",1992-03-27,5261852221764746,1296.1,2026-05-22,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000040,CUST0146,Unni Balasubramanian,kamdarnicholas@example.org,912234977459,"H.No. 666, Suresh Zila, Visakhapatnam-195727",1969-07-09,5538003699780064,1463.36,2026-05-06,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000041,CUST0149,Udyati Kohli,zaitrarao@example.net,4558774315,"H.No. 698, Minhas Path, Tinsukia 740228",1981-10-12,2575824527279347,15596.44,2026-08-08,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000042,CUST0159,Jasmit Bakshi,bhatyamini@example.com,917798317531,"79/18, Manda Marg, Serampore-153240",1998-07-04,2250490239757749,1254.17,2026-05-24,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000043,CUST0108,Sarthak Chandra,ekapadraghavan@example.net,919523327051,"267, Sharaf Path, Bulandshahr-790250",1959-01-12,2362946574866903,358.6,2026-05-12,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000044,CUST0067,Indrajit Raju,yochana34@example.com,915745466157,"80, Rege Nagar, Pali-271668",1992-01-16,2225302453418944,3549.59,2026-06-15,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000045,CUST0172,Luke Mani,harinisem@example.com,6098767430,"H.No. 871, Chakraborty Marg, Tinsukia-617559",1964-01-18,2229352210327835,13028.18,2026-07-16,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000046,CUST0062,Patrick Wali,priya39@example.net,3674335304,"H.No. 097, Sawhney Marg, Amaravati-644395",1973-05-09,2704583556041218,726.87,2026-07-05,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000047,CUST0102,Nimrat Ramakrishnan,iryalala@example.net,915139316400,"55, Saini, Nashik-371364",1963-09-13,2563198940492579,3244.55,2026-07-09,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000048,CUST0172,Luke Mani,harinisem@example.com,6098767430,"H.No. 871, Chakraborty Marg, Tinsukia-617559",1964-01-18,2303633913377147,2974.69,2026-05-14,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000049,CUST0118,Girindra Karnik,sawhneyishaan@example.org,1245267540,"39/74, Ramachandran Street, Kolhapur 757355",1981-08-18,2243951128683908,2709.74,2026-04-29,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000050,CUST0019,Nikita Master,anigam@example.org,913847487091,"67/595, Bains Chowk, Aurangabad 368095",1977-10-11,2263028790477516,152.39,2026-03-26,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000051,CUST0118,Girindra Karnik,sawhneyishaan@example.org,1245267540,"39/74, Ramachandran Street, Kolhapur 757355",1981-08-18,2382347535225451,653.95,2026-06-26,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000052,CUST0019,Nikita Master,anigam@example.org,913847487091,"67/595, Bains Chowk, Aurangabad 368095",1977-10-11,5484390563409449,532.63,2026-03-16,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000053,CUST0130,Samuel Bath,desainathaniel@example.org,9818472762,"H.No. 405, Borde Nagar, Ichalkaranji 097568",1958-01-19,2278992893686294,9238.72,2026-05-29,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000054,CUST0034,Isaac Mukherjee,anika06@example.com,914073249210,"12/829, Varma Circle, Orai 051463",1990-03-17,2530988522816371,4021.45,2026-06-25,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000055,CUST0018,Ridhi Savant,virajradhakrishnan@example.com,911173124919,"H.No. 80, Bhatia Ganj, South Dumdum 602888",1995-08-21,2609516579274933,123.05,2026-02-27,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000056,CUST0095,Darsh Rout,chokshiqadim@example.net,6833155208,"09/55, Wadhwa Circle, Ludhiana-002438",2002-04-11,2422789117343891,203.0,2026-07-06,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000057,CUST0041,Saumya Sharma,boasewarda@example.org,552258999,"H.No. 531, Saraf Path, Bellary-822942",1965-01-26,2349422008483598,18738.24,2026-07-24,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000058,CUST0140,Jagrati Srinivas,parmarirya@example.net,913892977115,"846, Kamdar, Nellore 391168",1965-01-24,2347670077408894,4484.97,2026-05-26,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000059,CUST0157,Henry Kala,ctailor@example.net,3388376436,"76/62, Dubey Circle, Ulhasnagar 501303",1997-04-21,5146575266796098,1746.09,2026-06-19,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000060,CUST0171,Lopa Kurian,ovirk@example.net,4417345455,"87/660, Bhandari Marg, Raurkela Industrial Township 622766",1978-07-16,2679270031922417,14169.28,2026-05-15,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000061,CUST0170,Chandresh Mohanty,rishi25@example.com,826613606,"90/25, Kalita Zila, Singrauli 660367",1963-04-14,2426330239616918,4583.47,2026-07-17,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000062,CUST0035,Pahal Basak,balanodika@example.org,4947889608,"23/919, Mannan Circle, Ajmer 197668",1988-11-09,2374884677329055,154.44,2026-08-04,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000063,CUST0030,Ryan Dutt,dubeyekavir@example.com,3506857479,"388, Goda Path, Berhampur 933323",1967-03-04,5301631803323168,455.33,2026-08-06,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000064,CUST0142,Joshua Issac,snehabalakrishnan@example.net,919933142491,"23, Cheema Ganj, Singrauli 840601",2001-08-07,2448685777213350,19632.56,2026-04-02,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000065,CUST0070,Lopa Amble,warinder49@example.net,8421025811,"644, Sachdev Marg, Bahraich-443264",1987-02-04,5247877941036413,534.7,2026-02-18,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000066,CUST0155,Lavanya Grewal,fradosinha@example.net,4324726049,"95, Nadig Street, Sangli-Miraj & Kupwad 316176",1993-10-18,2289908101015792,1888.21,2026-04-04,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000067,CUST0088,Nakul Dasgupta,csoman@example.com,6483341574,"30/836, Lalla Zila, Indore-574989",1981-07-28,5263211725524676,370.4,2026-06-29,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000068,CUST0176,Yashvi Chana,tarak27@example.org,9417632598,"224, Buch Zila, Medininagar 260443",2004-02-16,2557317738860932,10495.13,2026-07-16,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000069,CUST0130,Samuel Bath,desainathaniel@example.org,9818472762,"H.No. 405, Borde Nagar, Ichalkaranji 097568",1958-01-19,2266689574192865,3811.37,2026-06-24,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000070,CUST0065,Warjas Sarkar,trau@example.org,8971303403,"81, Dash Marg, Jalna 615968",1972-08-29,2713710175892288,4886.16,2026-05-31,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000071,CUST0024,Rudra Handa,irarana@example.net,2446616770,"636, Jani Road, Raipur-693937",1995-12-01,2284461805888838,9281.05,2026-05-15,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000072,CUST0071,Dhruv Lala,yoshita33@example.com,9340109705,"H.No. 73, Hans Marg, Kulti 209409",1963-01-07,5405498585781855,2203.21,2026-03-27,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000073,CUST0001,Girish Hans,yseshadri@example.org,957036897,"68, Warrior Road, Ulhasnagar-028568",1967-12-28,2245521922153537,85.01,2026-05-28,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000074,CUST0034,Isaac Mukherjee,anika06@example.com,914073249210,"12/829, Varma Circle, Orai 051463",1990-03-17,2247599013548664,3010.21,2026-06-22,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000075,CUST0042,Omya Grover,abhimanyu84@example.org,4734288665,"81, Ratta Zila, Tadipatri-448557",1984-04-20,2613970478250417,314.44,2026-04-03,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000076,CUST0142,Joshua Issac,snehabalakrishnan@example.net,919933142491,"23, Cheema Ganj, Singrauli 840601",2001-08-07,2296572399175832,9073.31,2026-05-03,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000077,CUST0144,Mitesh Chopra,subramaniamekbal@example.com,915971217507,"H.No. 68, Dalal Nagar, Tinsukia 667150",2005-10-16,2279530204208710,514.49,2026-06-25,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000078,CUST0029,Vritti Cheema,lavanyakeer@example.org,913244377820,"74/96, Vaidya Street, Hosur-911579",1988-03-13,2708216624069384,9115.7,2026-06-08,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000079,CUST0177,Shravya Sagar,udantsama@example.net,918363910174,"09/002, Varty Chowk, Bellary-197098",1979-05-09,5363831823300767,4045.72,2026-05-08,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000080,CUST0140,Jagrati Srinivas,parmarirya@example.net,913892977115,"846, Kamdar, Nellore 391168",1965-01-24,2296353489862286,741.08,2026-03-29,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000081,CUST0095,Darsh Rout,chokshiqadim@example.net,6833155208,"09/55, Wadhwa Circle, Ludhiana-002438",2002-04-11,2285919457434721,3528.59,2026-07-01,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000082,CUST0111,Yamini Mitter,bhandariyash@example.com,2339208098,"131, Aggarwal Street, Madhyamgram 988534",1988-07-08,5228338087857669,3142.56,2026-05-07,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000083,CUST0011,Ranbir Modi,kashvi57@example.com,913750310686,"H.No. 75, Virk Ganj, Kulti-991563",1960-09-03,5331706056995633,842.7,2026-06-26,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000084,CUST0094,Urishilla Sami,ektaperi@example.org,914459496015,"371, Chana, Chapra 283951",2003-09-18,5482430620546049,227.01,2026-05-07,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000085,CUST0092,Lakshit Choudhry,ubikasunder@example.org,1435235,"20/816, Wable Street, Bally-036134",1977-09-04,2287522731558147,610.76,2026-07-23,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000086,CUST0175,Samaksh Palan,teerthlanka@example.com,4257548247,"H.No. 362, Brahmbhatt Chowk, Jorhat 857049",1964-05-10,2704956157296557,1066.33,2026-03-01,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000087,CUST0171,Lopa Kurian,ovirk@example.net,4417345455,"87/660, Bhandari Marg, Raurkela Industrial Township 622766",1978-07-16,2486733777555470,1905.76,2026-03-07,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000088,CUST0091,Lajita Sami,krish65@example.com,2581881388,"68, Dyal Road, Surat 879272",1990-06-23,2675921473975115,1697.29,2026-07-16,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000089,CUST0159,Jasmit Bakshi,bhatyamini@example.com,917798317531,"79/18, Manda Marg, Serampore-153240",1998-07-04,2292268303955559,2546.55,2026-02-24,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000090,CUST0061,Logan Sidhu,samakshdivan@example.net,918374908364,"H.No. 98, Mahal Path, Sagar 878951",1964-05-28,5255707873194030,7338.72,2026-07-17,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000091,CUST0046,Mekhala Atwal,esarraf@example.org,919394551606,"16/067, Srinivasan, Nagpur 718357",1962-02-10,5170182990203282,1453.78,2026-02-23,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000092,CUST0007,Neha Pant,ekansh43@example.org,917040648538,"44, Prabhu Ganj, Miryalaguda 887300",1967-03-13,5219877075206232,19914.89,2026-05-30,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000093,CUST0086,Zinal Modi,maya71@example.com,9373066001,"83, Chada Marg, Gulbarga-850949",1970-07-12,5307155831403523,676.32,2026-07-26,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000094,CUST0172,Luke Mani,harinisem@example.com,6098767430,"H.No. 871, Chakraborty Marg, Tinsukia-617559",1964-01-18,5480451529348727,14438.86,2026-07-04,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000095,CUST0069,Azad Ramakrishnan,tsandal@example.com,914580704974,"H.No. 676, Kulkarni Zila, Tiruvottiyur 478629",1977-09-14,5162452723278392,1967.17,2026-06-02,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000096,CUST0180,Tripti Pingle,tdar@example.com,2949642214,"248, Dhingra, Vasai-Virar-098400",1977-03-22,2293171397242984,901.46,2026-03-03,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000097,CUST0098,Nirja Doctor,madhav98@example.com,918141197799,"06, Uppal Path, Asansol-277008",1967-11-02,2223403563242919,15763.09,2026-07-06,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000098,CUST0121,Ishani Agate,shravyadua@example.com,917822678081,"05/279, Ahuja Marg, Silchar 815845",2003-07-19,2557974237630347,2396.49,2026-02-24,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000099,CUST0052,Gopal Halder,nbaral@example.net,910676797741,"39, Narayanan Ganj, Kulti 272507",1992-02-07,2548198296317305,4587.54,2026-03-29,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000100,CUST0090,Simon Srinivasan,nikita82@example.net,914482437348,"13/806, Gopal Zila, Aligarh 229846",1993-10-31,2277826792021263,18258.1,2026-05-14,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000101,CUST0059,Ganga Muni,xtiwari@example.com,7302250344,"H.No. 931, Naidu Marg, Pali-560389",1976-10-18,2262564190856553,1336.48,2026-03-21,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000102,CUST0007,Neha Pant,ekansh43@example.org,917040648538,"44, Prabhu Ganj, Miryalaguda 887300",1967-03-13,2262316195854384,902.73,2026-05-31,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000103,CUST0103,Rachita Ravel,osur@example.com,8206940028,"H.No. 048, Sagar Road, Pudukkottai-982337",1992-07-09,5521059173696043,1036.78,2026-04-15,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000104,CUST0072,Sarthak Suresh,zehaanbuch@example.org,5822445060,"45, Ben Circle, Deoghar 389790",1978-07-20,2296916945174049,679.66,2026-07-23,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000105,CUST0072,Sarthak Suresh,zehaanbuch@example.org,5822445060,"45, Ben Circle, Deoghar 389790",1978-07-20,2283518576487735,202.61,2026-08-04,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
