transaction_id,customer_id,customer_name,email,phone,address,date_of_birth,card_number,cvv,transaction_amount,transaction_date,store_channel
TXN000017,CUST0020,Logan Grewal,brahmbhattnisha@example.org,06987176478,"H.No. 637, Luthra, Berhampur 430242",1998-04-20,5164523051039867,847,950.49,2026-07-03,POS-Store
TXN000018,CUST0141,Nimrat Sanghvi,shafaraj@example.com,09432073231,"H.No. 48, Sandal Street, Mehsana 281248",1965-09-07,2385504112823291,672,18742.95,2026-05-23,E-Commerce
TXN000019,CUST0013,Rachana Bhat,balveer20@example.com,+917541157451,"52, Dasgupta Street, Sasaram 475131",1977-08-13,2720245438624914,465,142.69,2026-06-22,E-Commerce
TXN000020,CUST0024,Rudra Handa,irarana@example.net,02446616770,"636, Jani Road, Raipur-693937",1995-12-01,2289670467587232,889,2760.17,2026-04-17,E-Commerce
TXN000021,CUST0043,Nilima Dara,unadkarni@example.org,04868507284,"25, Das Street, Jalgaon 673784",1990-06-12,2264479251770304,082,519.92,2026-03-27,POS-Store
TXN000022,CUST0125,Yash Bakshi,gaurav20@example.com,06483162569,"61/69, Bhatia Zila, Bhatpara 918109",1975-11-05,2247451693306486,9339,912.95,2026-07-31,POS-Store
TXN000023,CUST0055,Wazir Kant,basakyauvani@example.org,9053368317,"H.No. 54, Ganesan Circle, Junagadh 221312",1990-09-24,5520754395914841,770,678.73,2026-05-04,POS-Store
TXN000024,CUST0016,Yashica Ghose,urvinayak@example.net,9704566971,"H.No. 993, Goyal Circle, Udupi 699433",1960-05-19,5289930087129002,659,543.54,2026-07-05,E-Commerce
TXN000025,CUST0098,Nirja Doctor,madhav98@example.com,+918141197799,"06, Uppal Path, Asansol-277008",1967-11-02,5240437314423917,526,1739.23,2026-03-12,E-Commerce
TXN000026,CUST0100,Chaitanya Gulati,boasedarika@example.com,1428458750,"70/97, De Nagar, Siliguri 989075",1972-05-09,2264816859040988,528,18177.48,2026-07-19,POS-Store
TXN000027,CUST0117,Xalak Gokhale,baghyawatitank@example.com,+912963264634,"H.No. 423, Lad Ganj, Mau 442346",1958-04-17,2648528222904116,938,20212.17,2026-08-05,POS-Store
TXN000028,CUST0109,Siddharth Purohit,kashyapazad@example.net,+916428252224,"23/17, Sami Street, Panihati-580429",1968-04-11,2238676309725890,520,4686.58,2026-05-15,POS-Store
TXN000029,CUST0040,Zarna Pandey,puriraagini@example.net,4239185009,"H.No. 04, Sethi Road, Ambala 307405",1991-12-17,2710174179571161,087,235.99,2026-02-25,E-Commerce
TXN000030,CUST0076,Warda Loyal,jsaran@example.org,+919763975853,"H.No. 51, Karnik Circle, Vijayawada 393231",1982-01-08,2238503630175134,158,358.74,2026-03-07,E-Commerce
TXN000031,CUST0015,Vaishnavi Uppal,kalpitjha@example.net,8564803084,"07/03, Brar Nagar, Jamalpur-448666",2003-05-04,5506874072458512,021,2085.12,2026-05-14,E-Commerce
TXN000032,CUST0081,Qushi Kala,agarwalsamaksh@example.net,01031862060,"H.No. 74, Parmar Marg, Kanpur 478078",2002-10-15,2720911956943446,841,11065.45,2026-05-07,E-Commerce
TXN000033,CUST0013,Rachana Bhat,balveer20@example.com,+917541157451,"52, Dasgupta Street, Sasaram 475131",1977-08-13,2707607713646242,990,565.02,2026-07-02,POS-Store
TXN000034,CUST0129,Dayamai Manne,boraomkaar@example.com,+914061447024,"133, Buch Road, Gwalior 406716",2005-07-31,5542918145668361,415,811.28,2026-08-09,E-Commerce
TXN000035,CUST0015,Vaishnavi Uppal,kalpitjha@example.net,8564803084,"07/03, Brar Nagar, Jamalpur-448666",2003-05-04,2453006190810809,972,986.56,2026-02-24,E-Commerce
TXN000036,CUST0048,Ishanvi Kunda,akshay36@example.org,06961535839,"75/316, Krishnan Chowk, Cuttack-606189",1983-12-18,5479380605621223,228,1794.66,2026-03-14,E-Commerce
TXN000037,CUST0153,Jairaj Ramanathan,harrison29@example.org,07686617991,"H.No. 720, Ben Zila, Ballia 984360",1976-01-18,2284416413933962,898,823.87,2026-05-05,E-Commerce
TXN000038,CUST0173,Jagrati Purohit,muttiaryan@example.com,7044021975,"H.No. 05, Sehgal Ganj, Proddatur 739407",1960-10-26,5307905842124082,363,3915.3,2026-07-30,E-Commerce
TXN000039,CUST0104,Alexander Rege,amrita25@example.com,4584929505,"H.No. 412, Sankar Street, Anantapur-432245",1992-03-27,5261852221764746,146,1296.1,2026-05-22,E-Commerce
TXN000040,CUST0146,Unni Balasubramanian,kamdarnicholas@example.org,+912234977459,"H.No. 666, Suresh Zila, Visakhapatnam-195727",1969-07-09,5538003699780064,905,1463.36,2026-05-06,E-Commerce
TXN000041,CUST0149,Udyati Kohli,zaitrarao@example.net,4558774315,"H.No. 698, Minhas Path, Tinsukia 740228",1981-10-12,2575824527279347,057,15596.44,2026-08-08,E-Commerce
TXN000042,CUST0159,Jasmit Bakshi,bhatyamini@example.com,+917798317531,"79/18, Manda Marg, Serampore-153240",1998-07-04,2250490239757749,314,1254.17,2026-05-24,E-Commerce
TXN000043,CUST0108,Sarthak Chandra,ekapadraghavan@example.net,+919523327051,"267, Sharaf Path, Bulandshahr-790250",1959-01-12,2362946574866903,848,358.6,2026-05-12,POS-Store
TXN000044,CUST0067,Indrajit Raju,yochana34@example.com,+915745466157,"80, Rege Nagar, Pali-271668",1992-01-16,2225302453418944,797,3549.59,2026-06-15,E-Commerce
TXN000045,CUST0172,Luke Mani,harinisem@example.com,6098767430,"H.No. 871, Chakraborty Marg, Tinsukia-617559",1964-01-18,2229352210327835,510,13028.18,2026-07-16,POS-Store
TXN000046,CUST0062,Patrick Wali,priya39@example.net,03674335304,"H.No. 097, Sawhney Marg, Amaravati-644395",1973-05-09,2704583556041218,955,726.87,2026-07-05,POS-Store
TXN000047,CUST0102,Nimrat Ramakrishnan,iryalala@example.net,+915139316400,"55, Saini, Nashik-371364",1963-09-13,2563198940492579,609,3244.55,2026-07-09,E-Commerce
TXN000048,CUST0172,Luke Mani,harinisem@example.com,6098767430,"H.No. 871, Chakraborty Marg, Tinsukia-617559",1964-01-18,2303633913377147,360,2974.69,2026-05-14,POS-Store
TXN000049,CUST0118,Girindra Karnik,sawhneyishaan@example.org,1245267540,"39/74, Ramachandran Street, Kolhapur 757355",1981-08-18,2243951128683908,164,2709.74,2026-04-29,POS-Store
TXN000050,CUST0019,Nikita Master,anigam@example.org,+913847487091,"67/595, Bains Chowk, Aurangabad 368095",1977-10-11,2263028790477516,244,152.39,2026-03-26,E-Commerce
TXN000051,CUST0118,Girindra Karnik,sawhneyishaan@example.org,1245267540,"39/74, Ramachandran Street, Kolhapur 757355",1981-08-18,2382347535225451,602,653.95,2026-06-26,E-Commerce
TXN000052,CUST0019,Nikita Master,anigam@example.org,+913847487091,"67/595, Bains Chowk, Aurangabad 368095",1977-10-11,5484390563409449,152,532.63,2026-03-16,E-Commerce
TXN000053,CUST0130,Samuel Bath,desainathaniel@example.org,9818472762,"H.No. 405, Borde Nagar, Ichalkaranji 097568",1958-01-19,2278992893686294,867,9238.72,2026-05-29,POS-Store
TXN000054,CUST0034,Isaac Mukherjee,anika06@example.com,+914073249210,"12/829, Varma Circle, Orai 051463",1990-03-17,2530988522816371,655,4021.45,2026-06-25,POS-Store
TXN000055,CUST0018,Ridhi Savant,virajradhakrishnan@example.com,+911173124919,"H.No. 80, Bhatia Ganj, South Dumdum 602888",1995-08-21,2609516579274933,024,123.05,2026-02-27,E-Commerce
TXN000056,CUST0095,Darsh Rout,chokshiqadim@example.net,6833155208,"09/55, Wadhwa Circle, Ludhiana-002438",2002-04-11,2422789117343891,851,203.0,2026-07-06,POS-Store
TXN000057,CUST0041,Saumya Sharma,boasewarda@example.org,00552258999,"H.No. 531, Saraf Path, Bellary-822942",1965-01-26,2349422008483598,4397,18738.24,2026-07-24,POS-Store
TXN000058,CUST0140,Jagrati Srinivas,parmarirya@example.net,+913892977115,"846, Kamdar, Nellore 391168",1965-01-24,2347670077408894,1923,4484.97,2026-05-26,POS-Store
TXN000059,CUST0157,Henry Kala,ctailor@example.net,03388376436,"76/62, Dubey Circle, Ulhasnagar 501303",1997-04-21,5146575266796098,927,1746.09,2026-06-19,E-Commerce
TXN000060,CUST0171,Lopa Kurian,ovirk@example.net,04417345455,"87/660, Bhandari Marg, Raurkela Industrial Township 622766",1978-07-16,2679270031922417,723,14169.28,2026-05-15,POS-Store
TXN000061,CUST0170,Chandresh Mohanty,rishi25@example.com,00826613606,"90/25, Kalita Zila, Singrauli 660367",1963-04-14,2426330239616918,626,4583.47,2026-07-17,E-Commerce
TXN000062,CUST0035,Pahal Basak,balanodika@example.org,4947889608,"23/919, Mannan Circle, Ajmer 197668",1988-11-09,2374884677329055,668,154.44,2026-08-04,POS-Store
TXN000063,CUST0030,Ryan Dutt,dubeyekavir@example.com,03506857479,"388, Goda Path, Berhampur 933323",1967-03-04,5301631803323168,405,455.33,2026-08-06,E-Commerce
TXN000064,CUST0142,Joshua Issac,snehabalakrishnan@example.net,+919933142491,"23, Cheema Ganj, Singrauli 840601",2001-08-07,2448685777213350,454,19632.56,2026-04-02,E-Commerce
TXN000065,CUST0070,Lopa Amble,warinder49@example.net,08421025811,"644, Sachdev Marg, Bahraich-443264",1987-02-04,5247877941036413,095,534.7,2026-02-18,POS-Store
TXN000066,CUST0155,Lavanya Grewal,fradosinha@example.net,04324726049,"95, Nadig Street, Sangli-Miraj & Kupwad 316176",1993-10-18,2289908101015792,757,1888.21,2026-04-04,E-Commerce
TXN000067,CUST0088,Nakul Dasgupta,csoman@example.com,6483341574,"30/836, Lalla Zila, Indore-574989",1981-07-28,5263211725524676,890,370.4,2026-06-29,E-Commerce
TXN000068,CUST0176,Yashvi Chana,tarak27@example.org,9417632598,"224, Buch Zila, Medininagar 260443",2004-02-16,2557317738860932,253,10495.13,2026-07-16,POS-Store
TXN000069,CUST0130,Samuel Bath,desainathaniel@example.org,9818472762,"H.No. 405, Borde Nagar, Ichalkaranji 097568",1958-01-19,2266689574192865,737,3811.37,2026-06-24,POS-Store
TXN000070,CUST0065,Warjas Sarkar,trau@example.org,8971303403,"81, Dash Marg, Jalna 615968",1972-08-29,2713710175892288,194,4886.16,2026-05-31,E-Commerce
TXN000071,CUST0024,Rudra Handa,irarana@example.net,02446616770,"636, Jani Road, Raipur-693937",1995-12-01,2284461805888838,486,9281.05,2026-05-15,POS-Store
TXN000072,CUST0071,Dhruv Lala,yoshita33@example.com,9340109705,"H.No. 73, Hans Marg, Kulti 209409",1963-01-07,5405498585781855,434,2203.21,2026-03-27,E-Commerce
TXN000073,CUST0001,Girish Hans,yseshadri@example.org,00957036897,"68, Warrior Road, Ulhasnagar-028568",1967-12-28,2245521922153537,5340,85.01,2026-05-28,POS-Store
TXN000074,CUST0034,Isaac Mukherjee,anika06@example.com,+914073249210,"12/829, Varma Circle, Orai 051463",1990-03-17,2247599013548664,688,3010.21,2026-06-22,POS-Store
TXN000075,CUST0042,Omya Grover,abhimanyu84@example.org,4734288665,"81, Ratta Zila, Tadipatri-448557",1984-04-20,2613970478250417,521,314.44,2026-04-03,POS-Store
TXN000076,CUST0142,Joshua Issac,snehabalakrishnan@example.net,+919933142491,"23, Cheema Ganj, Singrauli 840601",2001-08-07,2296572399175832,639,9073.31,2026-05-03,POS-Store
TXN000077,CUST0144,Mitesh Chopra,subramaniamekbal@example.com,+915971217507,"H.No. 68, Dalal Nagar, Tinsukia 667150",2005-10-16,2279530204208710,461,514.49,2026-06-25,E-Commerce
TXN000078,CUST0029,Vritti Cheema,lavanyakeer@example.org,+913244377820,"74/96, Vaidya Street, Hosur-911579",1988-03-13,2708216624069384,959,9115.7,2026-06-08,E-Commerce
TXN000079,CUST0177,Shravya Sagar,udantsama@example.net,+918363910174,"09/002, Varty Chowk, Bellary-197098",1979-05-09,5363831823300767,349,4045.72,2026-05-08,E-Commerce
TXN000080,CUST0140,Jagrati Srinivas,parmarirya@example.net,+913892977115,"846, Kamdar, Nellore 391168",1965-01-24,2296353489862286,299,741.08,2026-03-29,E-Commerce
TXN000081,CUST0095,Darsh Rout,chokshiqadim@example.net,6833155208,"09/55, Wadhwa Circle, Ludhiana-002438",2002-04-11,2285919457434721,988,3528.59,2026-07-01,E-Commerce
TXN000082,CUST0111,Yamini Mitter,bhandariyash@example.com,2339208098,"131, Aggarwal Street, Madhyamgram 988534",1988-07-08,5228338087857669,063,3142.56,2026-05-07,E-Commerce
TXN000083,CUST0011,Ranbir Modi,kashvi57@example.com,+913750310686,"H.No. 75, Virk Ganj, Kulti-991563",1960-09-03,5331706056995633,9412,842.7,2026-06-26,POS-Store
TXN000084,CUST0094,Urishilla Sami,ektaperi@example.org,+914459496015,"371, Chana, Chapra 283951",2003-09-18,5482430620546049,023,227.01,2026-05-07,E-Commerce
TXN000085,CUST0092,Lakshit Choudhry,ubikasunder@example.org,0001435235,"20/816, Wable Street, Bally-036134",1977-09-04,2287522731558147,683,610.76,2026-07-23,E-Commerce
TXN000086,CUST0175,Samaksh Palan,teerthlanka@example.com,4257548247,"H.No. 362, Brahmbhatt Chowk, Jorhat 857049",1964-05-10,2704956157296557,533,1066.33,2026-03-01,E-Commerce
TXN000087,CUST0171,Lopa Kurian,ovirk@example.net,04417345455,"87/660, Bhandari Marg, Raurkela Industrial Township 622766",1978-07-16,2486733777555470,076,1905.76,2026-03-07,E-Commerce
TXN000088,CUST0091,Lajita Sami,krish65@example.com,2581881388,"68, Dyal Road, Surat 879272",1990-06-23,2675921473975115,520,1697.29,2026-07-16,POS-Store
TXN000089,CUST0159,Jasmit Bakshi,bhatyamini@example.com,+917798317531,"79/18, Manda Marg, Serampore-153240",1998-07-04,2292268303955559,390,2546.55,2026-02-24,E-Commerce
TXN000090,CUST0061,Logan Sidhu,samakshdivan@example.net,+918374908364,"H.No. 98, Mahal Path, Sagar 878951",1964-05-28,5255707873194030,773,7338.72,2026-07-17,E-Commerce
TXN000091,CUST0046,Mekhala Atwal,esarraf@example.org,+919394551606,"16/067, Srinivasan, Nagpur 718357",1962-02-10,5170182990203282,215,1453.78,2026-02-23,POS-Store
TXN000092,CUST0007,Neha Pant,ekansh43@example.org,+917040648538,"44, Prabhu Ganj, Miryalaguda 887300",1967-03-13,5219877075206232,734,19914.89,2026-05-30,E-Commerce
TXN000093,CUST0086,Zinal Modi,maya71@example.com,09373066001,"83, Chada Marg, Gulbarga-850949",1970-07-12,5307155831403523,765,676.32,2026-07-26,POS-Store
TXN000094,CUST0172,Luke Mani,harinisem@example.com,6098767430,"H.No. 871, Chakraborty Marg, Tinsukia-617559",1964-01-18,5480451529348727,404,14438.86,2026-07-04,E-Commerce
TXN000095,CUST0069,Azad Ramakrishnan,tsandal@example.com,+914580704974,"H.No. 676, Kulkarni Zila, Tiruvottiyur 478629",1977-09-14,5162452723278392,339,1967.17,2026-06-02,E-Commerce
TXN000096,CUST0180,Tripti Pingle,tdar@example.com,2949642214,"248, Dhingra, Vasai-Virar-098400",1977-03-22,2293171397242984,142,901.46,2026-03-03,E-Commerce
TXN000097,CUST0098,Nirja Doctor,madhav98@example.com,+918141197799,"06, Uppal Path, Asansol-277008",1967-11-02,2223403563242919,994,15763.09,2026-07-06,E-Commerce
TXN000098,CUST0121,Ishani Agate,shravyadua@example.com,+917822678081,"05/279, Ahuja Marg, Silchar 815845",2003-07-19,2557974237630347,169,2396.49,2026-02-24,E-Commerce
TXN000099,CUST0052,Gopal Halder,nbaral@example.net,+910676797741,"39, Narayanan Ganj, Kulti 272507",1992-02-07,2548198296317305,124,4587.54,2026-03-29,POS-Store
TXN000100,CUST0090,Simon Srinivasan,nikita82@example.net,+914482437348,"13/806, Gopal Zila, Aligarh 229846",1993-10-31,2277826792021263,128,18258.1,2026-05-14,POS-Store
TXN000101,CUST0059,Ganga Muni,xtiwari@example.com,7302250344,"H.No. 931, Naidu Marg, Pali-560389",1976-10-18,2262564190856553,699,1336.48,2026-03-21,E-Commerce
TXN000102,CUST0007,Neha Pant,ekansh43@example.org,+917040648538,"44, Prabhu Ganj, Miryalaguda 887300",1967-03-13,2262316195854384,761,902.73,2026-05-31,E-Commerce
TXN000103,CUST0103,Rachita Ravel,osur@example.com,8206940028,"H.No. 048, Sagar Road, Pudukkottai-982337",1992-07-09,5521059173696043,977,1036.78,2026-04-15,POS-Store
TXN000104,CUST0072,Sarthak Suresh,zehaanbuch@example.org,05822445060,"45, Ben Circle, Deoghar 389790",1978-07-20,2296916945174049,163,679.66,2026-07-23,E-Commerce
TXN000105,CUST0072,Sarthak Suresh,zehaanbuch@example.org,05822445060,"45, Ben Circle, Deoghar 389790",1978-07-20,2283518576487735,365,202.61,2026-08-04,POS-Store
TXN000106,CUST0165,Azaan Varughese,shravyamitra@example.com,1551972465,"H.No. 437, Sharma Zila, Kharagpur-526012",1959-11-21,5432988603766182,9071,3766.89,2026-07-28,POS-Store
TXN000107,CUST0174,Ridhi Gala,teerthkrishna@example.org,+916020548258,"14/45, Chawla, Muzaffarnagar-030690",1987-08-24,2264052015960287,998,1896.85,2026-07-23,POS-Store
TXN000108,CUST0008,Udant Lalla,mmuni@example.com,+915445316486,"H.No. 464, Mohanty Zila, Machilipatnam-241929",1965-10-19,2616389389302208,140,1948.76,2026-06-08,E-Commerce
TXN000109,CUST0067,Indrajit Raju,yochana34@example.com,+915745466157,"80, Rege Nagar, Pali-271668",1992-01-16,5516981547265261,546,758.42,2026-05-15,E-Commerce
TXN000110,CUST0149,Udyati Kohli,zaitrarao@example.net,4558774315,"H.No. 698, Minhas Path, Tinsukia 740228",1981-10-12,2230267373517575,223,4396.04,2026-04-18,POS-Store
TXN000111,CUST0010,Joshua Brar,pallakamala@example.org,09754295521,"041, Chawla Zila, Noida-449007",1960-11-07,2346431097685586,255,3272.67,2026-05-06,E-Commerce
TXN000112,CUST0153,Jairaj Ramanathan,harrison29@example.org,07686617991,"H.No. 720, Ben Zila, Ballia 984360",1976-01-18,2489972634916114,290,398.96,2026-04-11,POS-Store
TXN000113,CUST0089,Tara Bir,klalla@example.com,+918814190235,"H.No. 05, Peri Marg, Akola-176683",1996-06-08,2720398382774993,657,281.55,2026-08-08,POS-Store
TXN000114,CUST0112,Jai Nanda,ekbal93@example.com,+919781223351,"H.No. 94, Nadig Street, Katni 557238",1968-01-04,5221586391661832,140,11683.27,2026-03-20,E-Commerce
TXN000115,CUST0099,Vinaya Manda,fchoudhury@example.com,06034575744,"H.No. 52, Dhar Zila, Tadipatri 917745",1971-09-18,2718241586060104,843,15729.73,2026-05-14,E-Commerce
TXN000116,CUST0066,Lajita Khosla,jason36@example.org,04999680837,"11, Chana Road, Nanded-693249",1999-06-22,2276855386771075,353,3010.05,2026-07-18,E-Commerce
TXN000117,CUST0112,Jai Nanda,ekbal93@example.com,+919781223351,"H.No. 94, Nadig Street, Katni 557238",1968-01-04,5304252558597489,0340,2969.58,2026-07-20,E-Commerce
TXN000118,CUST0134,Idika Bir,vpradhan@example.net,+911207236827,"H.No. 887, Lal Street, Ahmedabad-330891",1968-01-14,5536616465398191,785,735.61,2026-07-27,E-Commerce
TXN000119,CUST0094,Urishilla Sami,ektaperi@example.org,+914459496015,"371, Chana, Chapra 283951",2003-09-18,2290852995187746,270,73.08,2026-06-17,POS-Store
TXN000120,CUST0018,Ridhi Savant,virajradhakrishnan@example.com,+911173124919,"H.No. 80, Bhatia Ganj, South Dumdum 602888",1995-08-21,2259620998620354,381,1708.27,2026-04-03,POS-Store
TXN000121,CUST0160,Saumya Apte,ramanudant@example.org,+913616182151,"372, Kalita Zila, Narasaraopet-682474",1968-11-09,5182682911392060,423,21216.83,2026-07-29,POS-Store
TXN000122,CUST0170,Chandresh Mohanty,rishi25@example.com,00826613606,"90/25, Kalita Zila, Singrauli 660367",1963-04-14,5293376193461331,170,11293.33,2026-06-30,E-Commerce
TXN000123,CUST0077,Aahana Varughese,binakota@example.net,2209703704,"54/913, Bal Chowk, Mangalore-284417",1963-12-09,5360668342491252,346,930.97,2026-03-17,POS-Store
TXN000124,CUST0171,Lopa Kurian,ovirk@example.net,04417345455,"87/660, Bhandari Marg, Raurkela Industrial Township 622766",1978-07-16,2470976515065207,944,4865.65,2026-04-17,POS-Store
TXN000125,CUST0084,Nitara Vig,lallajai@example.org,+913049331522,"H.No. 469, Subramanian Chowk, Barasat-097640",1970-10-26,5375626565207386,254,19501.31,2026-05-30,POS-Store
TXN000126,CUST0179,Triveni Kadakia,etahegde@example.org,+916666300629,"47, Gour Ganj, Berhampore-992736",2001-07-20,2281508096351232,494,415.46,2026-03-03,POS-Store
TXN000127,CUST0142,Joshua Issac,snehabalakrishnan@example.net,+919933142491,"23, Cheema Ganj, Singrauli 840601",2001-08-07,5336355227121409,017,10388.36,2026-06-05,E-Commerce
TXN000128,CUST0050,Odika Brahmbhatt,praneelzacharia@example.net,+918864756220,"00/91, Pau Circle, Asansol-673988",1978-11-20,2720155485323882,639,578.4,2026-05-22,POS-Store
TXN000129,CUST0171,Lopa Kurian,ovirk@example.net,04417345455,"87/660, Bhandari Marg, Raurkela Industrial Township 622766",1978-07-16,2299866223310814,879,16832.81,2026-05-05,POS-Store
TXN000130,CUST0174,Ridhi Gala,teerthkrishna@example.org,+916020548258,"14/45, Chawla, Muzaffarnagar-030690",1987-08-24,2256346374785172,481,1388.61,2026-05-22,E-Commerce
TXN000131,CUST0158,Zansi Khalsa,kamala99@example.org,07888040151,"29/830, Deshpande Path, Bihar Sharif 809429",2004-06-07,2511812771558182,406,4959.23,2026-05-06,POS-Store
TXN000132,CUST0104,Alexander Rege,amrita25@example.com,4584929505,"H.No. 412, Sankar Street, Anantapur-432245",1992-03-27,2236878949645395,977,541.89,2026-04-23,E-Commerce
TXN000133,CUST0078,Shivansh Nagy,joshua26@example.com,06812149397,"07/21, Palan Zila, Malda 577083",1976-12-05,2718312773833643,707,17593.33,2026-04-12,POS-Store
TXN000134,CUST0054,Garima Yadav,anthonymukherjee@example.org,4047668649,"38/38, Kalita Path, Ahmedabad-233041",1998-09-05,5252806723499137,664,3809.23,2026-04-11,POS-Store
TXN000135,CUST0149,Udyati Kohli,zaitrarao@example.net,4558774315,"H.No. 698, Minhas Path, Tinsukia 740228",1981-10-12,2256158787610347,498,2174.07,2026-04-05,POS-Store
TXN000136,CUST0120,Lohit Kala,zaid37@example.org,04669583880,"H.No. 550, Pai Ganj, Saharanpur 876372",1974-01-11,5141175314638338,341,4239.64,2026-08-02,POS-Store
TXN000137,CUST0114,Chaitaly Viswanathan,sarkarnaveen@example.org,08310384926,"H.No. 744, Sidhu Nagar, Dehri-540494",1997-01-02,2366837306627919,028,20525.18,2026-07-06,E-Commerce
TXN000138,CUST0131,Upma Karnik,manderturvi@example.org,00628008475,"365, Johal Circle, Anantapur 654548",1987-01-30,5350689255403508,708,3005.56,2026-06-18,POS-Store
TXN000139,CUST0044,Chaaya Handa,jacobdhar@example.com,08152390753,"H.No. 04, Nath Nagar, Aizawl-030007",1975-04-02,5587566584221766,714,3599.21,2026-06-21,E-Commerce
TXN000140,CUST0073,Ekta Mitra,anushamitra@example.com,07400080896,"65/285, Pathak Nagar, Mangalore 300710",1960-11-17,2255599853920873,323,4182.37,2026-05-17,POS-Store
TXN000141,CUST0024,Rudra Handa,irarana@example.net,02446616770,"636, Jani Road, Raipur-693937",1995-12-01,2550947318177658,188,10746.58,2026-06-01,E-Commerce
TXN000142,CUST0173,Jagrati Purohit,muttiaryan@example.com,7044021975,"H.No. 05, Sehgal Ganj, Proddatur 739407",1960-10-26,2720701322357201,730,1375.83,2026-05-22,POS-Store
TXN000143,CUST0058,Ojasvi Jain,cheemaamara@example.org,7592637377,"271, Shukla Chowk, Dehri 269473",1989-11-15,5371616944608382,592,1143.73,2026-04-27,E-Commerce
TXN000144,CUST0038,Girindra Dhillon,saanviswamy@example.net,05201491862,"25/91, Mander Street, Allahabad 336164",1999-03-21,2253082407408457,763,3170.04,2026-06-26,E-Commerce
TXN000145,CUST0012,Harini Sodhi,ravalojasvi@example.net,08462637222,"H.No. 05, Mital, Rajkot-175042",1966-05-29,2514506010588953,898,610.7,2026-02-17,E-Commerce
TXN000146,CUST0122,Kritika Kunda,kantmason@example.org,+911430893051,"H.No. 86, Gulati Chowk, Madurai 624931",1967-07-19,5476269920382822,851,85.44,2026-03-29,E-Commerce
TXN000147,CUST0117,Xalak Gokhale,baghyawatitank@example.com,+912963264634,"H.No. 423, Lad Ganj, Mau 442346",1958-04-17,5177150332319945,413,11123.88,2026-03-25,POS-Store
TXN000148,CUST0162,Onveer Misra,mgarde@example.org,07568123914,"05/401, Kulkarni Street, Jamnagar 538665",1978-02-27,2702387484330103,176,545.61,2026-07-17,E-Commerce
